,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
24,Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18/06/2016,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0
25,Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19/11/2016,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0
26,Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0
27,Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22/08/2016,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0
28,Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0
29,Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0
30,Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24/09/2016,2.5,3067.0,4.0,3.0,1.0,0.0,,,Yarra,-37.7994,144.9965,Northern Metropolitan,4019.0
31,Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,Northern Metropolitan,4019.0
32,Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019.0
33,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0
34,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019.0
35,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019.0
36,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019.0
37,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019.0
120,Alphington,6 Smith St,4,h,2000000.0,S,Brace,3/09/2016,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211.0
121,Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,3/09/2016,6.4,3078.0,3.0,2.0,2.0,208.0,,2013.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211.0
122,Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,4/03/2017,6.4,3078.0,3.0,2.0,2.0,411.0,,,Darebin,-37.7713,145.0279,Northern Metropolitan,2211.0
123,Alphington,44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211.0
124,Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,12/06/2016,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211.0
125,Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0
126,Alphington,4/2 Miller St,2,t,805000.0,S,Miles,12/11/2016,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211.0
127,Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,12/11/2016,6.4,3078.0,2.0,1.0,1.0,0.0,,,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0
128,Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,15/10/2016,6.4,3078.0,3.0,3.0,2.0,686.0,,,Darebin,-37.78,145.0341,Northern Metropolitan,2211.0
129,Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16/04/2016,6.4,3078.0,3.0,1.0,2.0,592.0,,,Darebin,-37.7755,145.0288,Northern Metropolitan,2211.0
130,Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,18/03/2017,6.4,3078.0,2.0,1.0,1.0,183.0,,,Darebin,-37.7747,145.0264,Northern Metropolitan,2211.0
131,Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,-37.7743,145.0316,Northern Metropolitan,2211.0
132,Alphington,38 Bennett St,4,h,2100000.0,S,Nelson,19/11/2016,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,-37.7723,145.0319,Northern Metropolitan,2211.0
133,Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,-37.7802,145.0243,Northern Metropolitan,2211.0
134,Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,22/05/2016,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0
135,Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24/09/2016,6.4,3078.0,0.0,1.0,0.0,0.0,,,Yarra,-37.7848,145.025,Northern Metropolitan,2211.0
136,Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211.0
137,Alphington,22 Lowther St,3,h,1165000.0,S,Barry,27/06/2016,6.4,3078.0,3.0,1.0,2.0,979.0,,,Yarra,-37.7792,145.029,Northern Metropolitan,2211.0
138,Alphington,11 Margaret Gr,4,h,1900000.0,SP,McGrath,27/11/2016,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,Yarra,-37.7844,145.0225,Northern Metropolitan,2211.0
139,Alphington,6 Naroon Rd,3,h,1485000.0,SP,McGrath,28/08/2016,6.4,3078.0,3.0,0.0,0.0,597.0,,,Darebin,-37.7781,145.0284,Northern Metropolitan,2211.0
140,Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,30/07/2016,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,-37.7719,145.0309,Northern Metropolitan,2211.0
1254,Brunswick,8/55 De Carle St,2,u,428000.0,S,Brad,3/09/2016,5.2,3056.0,2.0,1.0,2.0,0.0,,1970.0,Moreland,-37.7593,144.9652,Northern Metropolitan,11918.0
1255,Brunswick,234 Victoria St,2,h,1026000.0,S,Nelson,3/09/2016,5.2,3056.0,2.0,1.0,0.0,225.0,108.0,1905.0,Moreland,-37.7676,144.9665,Northern Metropolitan,11918.0
1256,Brunswick,9 Blair St,4,h,1802500.0,S,Jellis,3/12/2016,5.2,3056.0,4.0,3.0,1.0,238.0,93.0,1910.0,Moreland,-37.7713,144.9643,Northern Metropolitan,11918.0
1257,Brunswick,25 Hardy St,4,h,1500000.0,VB,Nelson,3/12/2016,5.2,3056.0,4.0,3.0,1.0,365.0,209.0,1890.0,Moreland,-37.7624,144.9671,Northern Metropolitan,11918.0
1258,Brunswick,29 Stewart St,4,h,2230000.0,S,Nelson,4/03/2017,5.2,3056.0,4.0,2.0,3.0,851.0,287.0,1940.0,Moreland,-37.7637,144.9662,Northern Metropolitan,11918.0
1259,Brunswick,1/182 Albion St,3,h,1050000.0,SP,hockingstuart,4/06/2016,5.2,3056.0,3.0,1.0,2.0,264.0,,,Moreland,-37.7611,144.9644,Northern Metropolitan,11918.0
1260,Brunswick,11/97 Brickworks Dr,2,u,410000.0,S,Ray,4/06/2016,5.2,3056.0,2.0,1.0,1.0,0.0,66.0,2000.0,Moreland,-37.7695,144.9528,Northern Metropolitan,11918.0
1261,Brunswick,9/15 De Carle St,1,u,272500.0,PI,Walshe,4/06/2016,5.2,3056.0,1.0,1.0,1.0,0.0,40.0,1970.0,Moreland,-37.762,144.9647,Northern Metropolitan,11918.0
1262,Brunswick,2/3 Donald St,3,h,680000.0,PI,Nelson,4/06/2016,5.2,3056.0,3.0,3.0,1.0,81.0,100.0,2016.0,Moreland,-37.7575,144.9647,Northern Metropolitan,11918.0
1263,Brunswick,3/9 Austin Tce,2,u,400000.0,S,Jellis,6/08/2016,5.2,3056.0,2.0,1.0,1.0,0.0,61.0,1970.0,Moreland,-37.7608,144.968,Northern Metropolitan,11918.0
1264,Brunswick,77 Blyth St,3,h,950000.0,SP,Jellis,6/08/2016,5.2,3056.0,3.0,1.0,0.0,170.0,96.0,1910.0,Moreland,-37.7661,144.9691,Northern Metropolitan,11918.0
1265,Brunswick,314 Barkly St,3,h,1310000.0,PI,Nelson,7/05/2016,5.2,3056.0,3.0,2.0,2.0,426.0,,1880.0,Moreland,-37.7759,144.9578,Northern Metropolitan,11918.0
1266,Brunswick,5/185 Brunswick Rd,4,t,860000.0,PI,Nelson,7/05/2016,5.2,3056.0,4.0,2.0,1.0,95.0,97.0,,Moreland,-37.7772,144.9653,Northern Metropolitan,11918.0
1267,Brunswick,141 Gold St,2,h,845500.0,S,Nelson,7/05/2016,5.2,3056.0,2.0,1.0,1.0,179.0,90.0,1890.0,Moreland,-37.7742,144.9542,Northern Metropolitan,11918.0
1268,Brunswick,143 Gold St,2,h,860000.0,S,Nelson,7/05/2016,5.2,3056.0,2.0,1.0,1.0,181.0,,1910.0,Moreland,-37.7742,144.9541,Northern Metropolitan,11918.0
1269,Brunswick,3/4 Mitchell St,2,t,605000.0,PI,Jellis,7/05/2016,5.2,3056.0,2.0,1.0,1.0,0.0,78.0,2009.0,Moreland,-37.7588,144.9646,Northern Metropolitan,11918.0
1270,Brunswick,13 Percy St,3,h,1055000.0,S,Nelson,7/05/2016,5.2,3056.0,3.0,1.0,1.0,324.0,,1930.0,Moreland,-37.7653,144.9586,Northern Metropolitan,11918.0
1271,Brunswick,9/33 Staley St,2,u,445000.0,S,Walshe,7/05/2016,5.2,3056.0,2.0,1.0,1.0,0.0,61.0,1975.0,Moreland,-37.7643,144.9638,Northern Metropolitan,11918.0
1272,Brunswick,1/263 Albion St,2,u,659500.0,S,Walshe,7/11/2016,5.2,3056.0,2.0,1.0,1.0,100.0,85.0,1970.0,Moreland,-37.7601,144.9581,Northern Metropolitan,11918.0
1273,Brunswick,6/153 Barkly St,2,u,600000.0,S,Nelson,7/11/2016,5.2,3056.0,2.0,1.0,1.0,0.0,75.0,2011.0,Moreland,-37.777,144.9703,Northern Metropolitan,11918.0
1274,Brunswick,21/10 Breese St,3,u,627000.0,S,Nelson,7/11/2016,5.2,3056.0,3.0,2.0,2.0,0.0,,,Moreland,-37.7634,144.9616,Northern Metropolitan,11918.0
1275,Brunswick,79 Hope St,4,h,1450000.0,S,Jellis,7/11/2016,5.2,3056.0,4.0,2.0,2.0,323.0,,,Moreland,-37.7637,144.9565,Northern Metropolitan,11918.0
1276,Brunswick,2 Sheffield St,3,h,990000.0,S,Nelson,7/11/2016,5.2,3056.0,3.0,1.0,2.0,410.0,,,Moreland,-37.7604,144.9514,Northern Metropolitan,11918.0
1277,Brunswick,129 Albion St,4,h,1115000.0,PI,Jellis,8/10/2016,5.2,3056.0,4.0,1.0,0.0,264.0,139.0,1900.0,Moreland,-37.7611,144.9677,Northern Metropolitan,11918.0
1278,Brunswick,39 Eveline St,3,h,1125000.0,S,Jellis,8/10/2016,5.2,3056.0,3.0,1.0,1.0,278.0,91.0,1910.0,Moreland,-37.7701,144.9633,Northern Metropolitan,11918.0
1279,Brunswick,28 Osborne St,3,h,855000.0,S,Nelson,8/10/2016,5.2,3056.0,3.0,1.0,1.0,229.0,97.0,1930.0,Moreland,-37.7622,144.9586,Northern Metropolitan,11918.0
1280,Brunswick,78 Stewart St,3,h,910000.0,S,Jellis,8/10/2016,5.2,3056.0,2.0,1.0,1.0,215.0,,,Moreland,-37.7642,144.9688,Northern Metropolitan,11918.0
1281,Brunswick,16 Thistle St,3,t,940000.0,S,Ray,8/10/2016,5.2,3056.0,3.0,2.0,1.0,186.0,140.0,2016.0,Moreland,-37.7581,144.9514,Northern Metropolitan,11918.0
1282,Brunswick,28 Blair St,2,h,1100000.0,S,Nelson,10/09/2016,5.2,3056.0,2.0,1.0,0.0,153.0,,1900.0,Moreland,-37.7705,144.9647,Northern Metropolitan,11918.0
1283,Brunswick,3/38 Charles St,2,t,750000.0,PI,Nelson,10/09/2016,5.2,3056.0,2.0,2.0,1.0,118.0,88.0,2013.0,Moreland,-37.7723,144.9643,Northern Metropolitan,11918.0
1284,Brunswick,73 Davies St,2,h,1056000.0,S,Nelson,10/09/2016,5.2,3056.0,2.0,1.0,1.0,315.0,108.0,1910.0,Moreland,-37.757,144.9697,Northern Metropolitan,11918.0
1285,Brunswick,7/117 Albion St,2,t,620000.0,S,Harrington,10/12/2016,5.2,3056.0,2.0,2.0,1.0,72.0,2.0,,Moreland,-37.7609,144.969,Northern Metropolitan,11918.0
1286,Brunswick,3/5 Evans St,3,u,880000.0,S,Dingle,10/12/2016,5.2,3056.0,3.0,2.0,1.0,122.0,152.0,2000.0,Moreland,-37.7697,144.9649,Northern Metropolitan,11918.0
1287,Brunswick,5 MacKenzie St,3,h,1222500.0,S,Nelson,10/12/2016,5.2,3056.0,3.0,1.0,0.0,331.0,126.0,1890.0,Moreland,-37.7619,144.959,Northern Metropolitan,11918.0
1288,Brunswick,3A Austin Tce,3,h,810000.0,PI,Rendina,11/02/2017,5.2,3056.0,3.0,2.0,3.0,177.0,,,Moreland,-37.7609,144.9677,Northern Metropolitan,11918.0
1289,Brunswick,61 Evans St,2,h,1105000.0,S,Nelson,11/02/2017,5.2,3056.0,2.0,1.0,1.0,147.0,,,Moreland,-37.7702,144.9692,Northern Metropolitan,11918.0
1290,Brunswick,136 Hope St,2,h,1260000.0,S,Jellis,11/02/2017,5.2,3056.0,2.0,1.0,1.0,385.0,,1925.0,Moreland,-37.7631,144.9534,Northern Metropolitan,11918.0
1291,Brunswick,87 Hope St,3,t,955000.0,S,Nelson,11/02/2017,5.2,3056.0,3.0,2.0,2.0,327.0,110.0,2007.0,Moreland,-37.7636,144.9559,Northern Metropolitan,11918.0
1292,Brunswick,94 Lydia St,1,t,895000.0,S,Nelson,11/02/2017,5.2,3056.0,1.0,1.0,0.0,0.0,,,Moreland,-37.7717,144.9679,Northern Metropolitan,11918.0
1293,Brunswick,443 Albert St,2,h,1094000.0,S,Nelson,11/03/2017,5.2,3056.0,2.0,1.0,2.0,301.0,,,Moreland,-37.7672,144.9496,Northern Metropolitan,11918.0
1294,Brunswick,391 Brunswick Rd,3,h,1135000.0,S,Barry,11/03/2017,5.2,3056.0,3.0,1.0,1.0,438.0,,,Moreland,-37.7758,144.9508,Northern Metropolitan,11918.0
1295,Brunswick,332 Albion St,2,h,792000.0,S,Nelson,12/11/2016,5.2,3056.0,2.0,1.0,1.0,149.0,,,Moreland,-37.7597,144.9528,Northern Metropolitan,11918.0
1296,Brunswick,1/32 Donald St,2,u,587000.0,SP,Jellis,12/11/2016,5.2,3056.0,2.0,1.0,1.0,114.0,65.0,1970.0,Moreland,-37.758,144.9667,Northern Metropolitan,11918.0
1297,Brunswick,98 Evans St,3,h,1060000.0,S,Nelson,12/11/2016,5.2,3056.0,3.0,1.0,0.0,257.0,121.0,1935.0,Moreland,-37.7704,144.9695,Northern Metropolitan,11918.0
1298,Brunswick,144A Glenlyon Rd,2,h,840000.0,S,Jellis,12/11/2016,5.2,3056.0,2.0,1.0,1.0,186.0,,,Moreland,-37.7727,144.9707,Northern Metropolitan,11918.0
1299,Brunswick,246 Victoria St,2,h,890000.0,S,Jellis,12/11/2016,5.2,3056.0,2.0,1.0,1.0,199.0,93.0,1900.0,Moreland,-37.7676,144.9659,Northern Metropolitan,11918.0
1300,Brunswick,190 Barkly St,4,h,1358000.0,S,Nelson,13/08/2016,5.2,3056.0,4.0,1.0,1.0,416.0,,,Moreland,-37.7769,144.9661,Northern Metropolitan,11918.0
1301,Brunswick,7 Barrow St,3,h,840000.0,VB,Brad,13/08/2016,5.2,3056.0,2.0,1.0,0.0,209.0,,,Moreland,-37.7624,144.9692,Northern Metropolitan,11918.0
1302,Brunswick,2/12 Jones St,2,t,685000.0,SP,Jellis,13/08/2016,5.2,3056.0,2.0,2.0,1.0,0.0,100.0,2002.0,Moreland,-37.7617,144.9642,Northern Metropolitan,11918.0
1303,Brunswick,6/837 Park St,2,u,600000.0,S,Woodards,13/08/2016,5.2,3056.0,2.0,1.0,1.0,768.0,,1970.0,Moreland,-37.7768,144.9512,Northern Metropolitan,11918.0
1304,Brunswick,74 Davies St,3,h,905000.0,S,Nelson,14/05/2016,5.2,3056.0,3.0,1.0,1.0,314.0,,,Moreland,-37.7573,144.97,Northern Metropolitan,11918.0
1305,Brunswick,14 Murdock St,3,h,976000.0,S,Jellis,14/05/2016,5.2,3056.0,3.0,2.0,1.0,240.0,162.0,2005.0,Moreland,-37.756,144.9587,Northern Metropolitan,11918.0
1306,Brunswick,8/2 Pottery Ct,3,t,641000.0,SP,RW,14/05/2016,5.2,3056.0,3.0,2.0,1.0,0.0,112.0,1900.0,Moreland,-37.7703,144.9533,Northern Metropolitan,11918.0
1307,Brunswick,157 Albion St,2,h,770000.0,S,Nelson,15/10/2016,5.2,3056.0,2.0,1.0,0.0,152.0,87.0,1910.0,Moreland,-37.7611,144.966,Northern Metropolitan,11918.0
1308,Brunswick,6/305 Albion St,1,u,279500.0,S,Walshe,15/10/2016,5.2,3056.0,1.0,1.0,1.0,0.0,51.0,1970.0,Moreland,-37.7597,144.9548,Northern Metropolitan,11918.0
1309,Brunswick,177 Barkly St,4,h,1800000.0,VB,Nelson,15/10/2016,5.2,3056.0,4.0,2.0,3.0,271.0,180.0,1900.0,Moreland,-37.7769,144.9691,Northern Metropolitan,11918.0
1310,Brunswick,30 Charles St,4,h,1350000.0,S,Nelson,15/10/2016,5.2,3056.0,4.0,1.0,1.0,370.0,151.0,1940.0,Moreland,-37.7728,144.9639,Northern Metropolitan,11918.0
1311,Brunswick,113 Glenlyon Rd,4,h,1320000.0,S,Nelson,15/10/2016,5.2,3056.0,4.0,2.0,1.0,281.0,156.0,1920.0,Moreland,-37.7722,144.9681,Northern Metropolitan,11918.0
1312,Brunswick,311 Albion St,3,h,825000.0,S,Nelson,16/04/2016,5.2,3056.0,3.0,1.0,1.0,210.0,130.0,1900.0,Moreland,-37.7597,144.9545,Northern Metropolitan,11918.0
1313,Brunswick,46 Cassels Rd,2,h,860000.0,S,Nelson,16/04/2016,5.2,3056.0,3.0,1.0,2.0,352.0,,1900.0,Moreland,-37.7566,144.9599,Northern Metropolitan,11918.0
1314,Brunswick,50 Davies St,2,h,830000.0,S,Nelson,16/04/2016,5.2,3056.0,2.0,1.0,1.0,319.0,,,Moreland,-37.7572,144.9686,Northern Metropolitan,11918.0
1315,Brunswick,58 Donald St,2,h,936000.0,S,Nelson,16/04/2016,5.2,3056.0,2.0,1.0,2.0,200.0,,,Moreland,-37.7581,144.9678,Northern Metropolitan,11918.0
1316,Brunswick,175 Edward St,3,h,1261000.0,S,Nelson,16/04/2016,5.2,3056.0,2.0,1.0,1.0,216.0,100.0,1910.0,Moreland,-37.7746,144.9697,Northern Metropolitan,11918.0
1317,Brunswick,84 Stewart St,3,h,1045000.0,S,Jellis,16/04/2016,5.2,3056.0,3.0,1.0,2.0,222.0,105.0,1890.0,Moreland,-37.7642,144.969,Northern Metropolitan,11918.0
1318,Brunswick,215/1 Dods St,3,u,1044000.0,S,Jellis,16/07/2016,5.2,3056.0,3.0,1.0,1.0,0.0,85.0,2000.0,Moreland,-37.773,144.9624,Northern Metropolitan,11918.0
1319,Brunswick,154 Brunswick Rd,3,h,1050000.0,SP,Nelson,17/09/2016,5.2,3056.0,3.0,1.0,1.0,239.0,126.0,1910.0,Moreland,-37.7776,144.963,Northern Metropolitan,11918.0
1320,Brunswick,2 Chambers St,3,h,1691500.0,S,Nelson,17/09/2016,5.2,3056.0,3.0,2.0,3.0,470.0,152.0,1920.0,Moreland,-37.7788,144.9688,Northern Metropolitan,11918.0
1321,Brunswick,54 Davies St,2,h,1075000.0,PI,Jellis,17/09/2016,5.2,3056.0,2.0,1.0,0.0,311.0,108.0,1930.0,Moreland,-37.7572,144.9687,Northern Metropolitan,11918.0
1322,Brunswick,2/1 Sturrock St,2,u,620000.0,S,Brad,17/09/2016,5.2,3056.0,2.0,1.0,1.0,135.0,,1975.0,Moreland,-37.7583,144.9756,Northern Metropolitan,11918.0
1323,Brunswick,23/10 Breese St,2,u,501000.0,S,Nelson,18/03/2017,5.2,3056.0,2.0,1.0,1.0,1140.0,80.0,2010.0,Moreland,-37.7634,144.9616,Northern Metropolitan,11918.0
1324,Brunswick,393A Brunswick Rd,3,h,1260000.0,S,Rendina,18/03/2017,5.2,3056.0,3.0,1.0,6.0,563.0,98.0,1960.0,Moreland,-37.7757,144.9505,Northern Metropolitan,11918.0
1325,Brunswick,52 Evans St,3,h,1650000.0,S,Nelson,18/03/2017,5.2,3056.0,3.0,1.0,2.0,495.0,141.0,1920.0,Moreland,-37.7702,144.9672,Northern Metropolitan,11918.0
1326,Brunswick,8/705 Park St,2,u,601000.0,S,Brad,18/03/2017,5.2,3056.0,2.0,1.0,1.0,0.0,57.0,1970.0,Moreland,-37.7778,144.9594,Northern Metropolitan,11918.0
1327,Brunswick,32 Rose St,1,h,800000.0,PI,Walshe,18/03/2017,5.2,3056.0,1.0,1.0,4.0,330.0,,,Moreland,-37.7577,144.9524,Northern Metropolitan,11918.0
