"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT02754544","Using Electrocorticogram (ECoG) in Predicting Eloquent Cortex and Post-Op Functional Outcomes in Patients With Brain Tumors",,"Recruiting","No Results Available","Brain Tumor","Procedure: Electrocorticography (ECoG) with PMT Grids|Procedure: Electrocorticography (ECoG) with CorTec Grids|Procedure: Digital Glove Procedure|Procedure: Neurological Exam|Procedure: Electrocorticography (ECoG) with Ad-Tech Grids|Procedure: Direct Electrical Stimulation Mapping|Procedure: Grip Sensor Procedure","Comparison of the Electrocorticogram (ECoG) Data to Standard Mapping During Brain Surgery Using PMT High-Resolution Grids, CorTec High Density Grids or Ad-Tech Grids","M.D. Anderson Cancer Center","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","2015-0775|NCI-2016-00794","July 2016","July 2019","July 2019","April 28, 2016","null","January 5, 2018","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT02754544"
12,"NCT03394716","Monitoring MRI Changes Before and During Radiotherapy Treatment of Brain Tumors",,"Recruiting","No Results Available","Brain Tumor","Radiation: Radiotherapy","MRI parameters in the target volume|anatomical variations in position, shape and size in the target volume|the correlation between MRI parameters to the treatment outcome|the correlation between anatomical variations and the treatment outcome","The Netherlands Cancer Institute","All","18 Years and older   (Adult, Older Adult)","","80","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","N17MRB","January 12, 2018","January 1, 2021","January 1, 2021","January 9, 2018","null","March 14, 2018","Antoni van Leeuwenhoek, Amsterdam, Noord-Holland, Netherlands","","https://ClinicalTrials.gov/show/NCT03394716"
13,"NCT03276676","[18F]Fluciclovine and [18F]FLT PET/CT Assessment of Primary High-Grade Brain Tumors",,"Recruiting","No Results Available","Brain Tumor","Drug: Multi-tracer PET exams of [18F]FLT and [18F]Fluciclovine","Increased Overall Survival|Association between overall survival and quantitative markers|Association between progression free survival and quantitative markers|Ability of [18F]FLT and/or [18F]Fluciclovine alone or together to predict true progression from pseudoprogression|More predictive of overall survival than an MRI|More predictive of time to progression than an MRI","University of Utah|Blue Earth Diagnostics","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","HCI104704","March 6, 2018","November 2022","November 2022","September 8, 2017","null","May 23, 2018","Huntsman Cancer Institute, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT03276676"
14,"NCT03220646","The Purpose of This Study is to Test Any Good and Bad Effects of a Study Drug Called Abemaciclib (LY2835219) in Patients With Recurrent Brain Tumors.",,"Recruiting","No Results Available","Brain Tumor","Drug: abemaciclib","radiographic response rate|progression free survival (PFS)","Memorial Sloan Kettering Cancer Center|Eli Lilly and Company","All","18 Years and older   (Adult, Older Adult)","Phase 2","78","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","17-261","July 13, 2017","July 2020","July 2020","July 18, 2017","null","February 27, 2018","Memoral Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Memorial Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Commack, Commack, New York, United States|Memorial Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT03220646"
15,"NCT03090386","Evaluation of Cognitive-Communication Deficits Following Treatment of Primary Brain Tumor Patients",,"Recruiting","No Results Available","Brain Tumor","Other: Cognitive Surveys","Cognitive Communication Survey|Cognitive-linguistic Standardized Testing|Follow-up Survey","Mayo Clinic","All","18 Years to 89 Years   (Adult, Older Adult)","","40","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","16-005834","February 25, 2017","February 2019","August 2019","March 24, 2017","null","February 8, 2018","Mayo Clinic in Rochester, Rochester, Minnesota, United States","","https://ClinicalTrials.gov/show/NCT03090386"
16,"NCT02530749","Frailty as a Predictor of Neurosurgical Outcomes in Brain Tumor Patients",,"Recruiting","No Results Available","Brain Tumors","","Number of patients with a Complication risk|Length of stay based on a Hopkins Frailty Score (HFS).|Number of patients Discharge to a skilled or assisted-living facility","University of Colorado, Denver","All","18 Years and older   (Adult, Older Adult)","","600","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","14-0579","April 2014","June 2018","December 2018","August 21, 2015","null","July 28, 2017","University of Colorado Anschutz Medical Campus, Aurora, Colorado, United States","","https://ClinicalTrials.gov/show/NCT02530749"
17,"NCT03451123","FET-PET/MRI for Surgical Assessment of Pediatric Brain Tumors",,"Recruiting","No Results Available","Pediatric Brain Tumors","Drug: FET PET/MRI","Percentage of patients whose surgical plan change with FET-PET/MRI compared to MRI alone.|Percentage of patients who have residual tumor after surgery detected with FET-PET/MRI","University of Alabama at Birmingham","All","6 Years to 18 Years   (Child, Adult)","Early Phase 1","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","R17-077","April 23, 2018","February 2021","February 2021","March 1, 2018","null","May 15, 2018","UAB Advanced Imaging Facility, Birmingham, Alabama, United States","","https://ClinicalTrials.gov/show/NCT03451123"
18,"NCT02129712","Neuroplasticity-Based Cognitive Remediation for Pediatric Brain Tumor Survivors","CRPBT","Recruiting","No Results Available","Brain Tumor","Behavioral: Cognitive training","NIH Toolbox-Cognition Battery","Vanderbilt University|National Cancer Institute (NCI)","All","7 Years to 16 Years   (Child)","Not Applicable","40","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","121214|1R21CA175840-01","February 1, 2014","December 31, 2017","December 31, 2017","May 2, 2014","null","April 12, 2017","Vanderbilt University, Nashville, Tennessee, United States","","https://ClinicalTrials.gov/show/NCT02129712"
19,"NCT01535430","Assessment of Eloquent Function in Brain Tumor Patients",,"Recruiting","No Results Available","Primary Brain Tumor|Metastatic Brain Tumor","","Eloquent function","University of Nebraska","All","19 Years and older   (Adult, Older Adult)","","10","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","671-11-FB","January 2012","June 2019","June 2020","February 17, 2012","null","September 18, 2017","University of Nebraska Medical Center, Omaha, Nebraska, United States","","https://ClinicalTrials.gov/show/NCT01535430"
20,"NCT00811148","Florida Center for Brain Tumor Research","FCBTR","Recruiting","No Results Available","Brain Tumors","Procedure: Tissue Bank","Collect and maintain clinical data and tumor tissue removed during brain surgeries.","University of Florida","All","Child, Adult, Older Adult","","4000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","FCBTR","March 2006","December 2020","December 2020","December 18, 2008","null","July 6, 2018","University of Florida, Gainesville, Florida, United States","","https://ClinicalTrials.gov/show/NCT00811148"
21,"NCT00147056","MRI-Guided Focused Ultrasound Feasibility Study for Brain Tumors",,"Recruiting","No Results Available","Brain Tumor","Device: ExAblate transcranial system","Number of subjects with Serious and Non-Serious Adverse Events after MRI Guided Focused ultrasound treatment for brain tumors","InSightec","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","10","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BT002","August 2012","December 2018","December 2018","September 7, 2005","null","March 29, 2018","Brigham and Women's Hospital, Boston, Massachusetts, United States|Swedish Medical Center, Seattle, Washington, United States","","https://ClinicalTrials.gov/show/NCT00147056"
22,"NCT02905110","Methotrexate and Etoposide Infusions Into the Fourth Ventricle in Children With Recurrent Posterior Fossa Brain Tumors",,"Recruiting","No Results Available","Brain Tumor Recurrent","Drug: Methotrexate|Drug: Etoposide|Procedure: Ommaya Reservoir","Number of patients with grade 3 through grade 5 new neurological adverse events that are related to study drug, graded according to NCI CTCAE Version 4.0","The University of Texas Health Science Center, Houston","All","1 Year to 21 Years   (Child, Adult)","Early Phase 1","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HSC-MS-16-0639","October 2016","November 2020","November 2020","September 19, 2016","null","August 22, 2017","UTHealth & Children's Memorial Hermann Hospital, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT02905110"
23,"NCT03068832","Neoepitope-based Personalized Vaccine Approach in Pediatric Patients With Recurrent Brain Tumors",,"Not yet recruiting","No Results Available","Pediatric Brain Tumor","Biological: Personalized peptide vaccine|Drug: Poly ICLC|Procedure: Peripheral blood draw","Safety and tolerability of adjuvant personalized neoantigen peptide vaccine administration with poly-ICLC as measured by grade 3 and 4 adverse events|Feasibility of adjuvant personalized neoantigen peptide vaccine administration with poly-ICLC as measured by the number of participants who have a neoantigen specific long peptide vaccine identified and generated|Characterize tumor-infiltrating lymphocytes (TIL)|Frequency of expressed neoantigens using patient-specific HLA class I prediction algorithms","Washington University School of Medicine","All","up to 21 Years   (Child, Adult)","Phase 1","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","17-x032","December 31, 2018","June 30, 2020","May 31, 2023","March 3, 2017","null","June 21, 2018","Washington University School of Medicine, Saint Louis, Missouri, United States","","https://ClinicalTrials.gov/show/NCT03068832"
24,"NCT01682746","Photodynamic Therapy (PDT) for Recurrent Pediatric Brain Tumors",,"Recruiting","No Results Available","Brain Tumor, Recurrent","Drug: Photofrin (porfimer sodium) & photodynamic therapy.","Maximum tolerable dose (MTD) of Photofrin® in pediatric subjects|Brain tumor response","Harry T Whelan, MD|Pinnacle Biologics Inc.|Medical College of Wisconsin","All","6 Months to 18 Years   (Child, Adult)","Phase 1","24","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","163588-1","March 2013","April 2019","April 2024","September 11, 2012","null","February 20, 2018","Children's Hospital of Wisconsin, Wauwatosa, Wisconsin, United States","","https://ClinicalTrials.gov/show/NCT01682746"
25,"NCT03531307","Lactate Levels Correlates With Ki-67 in Brain Tumor Surgery",,"Recruiting","No Results Available","Brain Tumor|Anesthesia","Other: Data correlation","Evaluate the correlation between Lactate levels and Ki-67 Index","Ricard Valero|Fundacion Clinic per a la Recerca Biomédica","All","Child, Adult, Older Adult","","100","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","Lac001Ki67","May 30, 2018","July 30, 2018","August 30, 2018","May 21, 2018","null","June 7, 2018","Anesthesia department, Hospital Clínic de Barcelona, Barcelona, Spain","","https://ClinicalTrials.gov/show/NCT03531307"
26,"NCT02150564","3D Ultra Sound for Resection of Brain Tumors","Sono RCT","Recruiting","No Results Available","Patients With Resectable Brain Tumors","Device: Sonowand|Procedure: Navigation","Percentage of patients where Gross total resection (GTR) achieved|Accuracy of US","Tata Memorial Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 3","72","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","TMC-ACTREC 101","March 2014","January 2017","March 2017","May 30, 2014","null","October 21, 2016","Advanced Centre for Treatment Research and Education in Cancer, Mumbai, Maharashtra, India","","https://ClinicalTrials.gov/show/NCT02150564"
27,"NCT02458339","Methotrexate Infusion Into Fourth Ventricle in Children With Recurrent Malignant Fourth Ventricular Brain Tumors",,"Recruiting","No Results Available","Brain Tumor, Recurrent|Malignant Neoplasm of Fourth Ventricle of Brain","Procedure: Ommaya Reservoir|Drug: Methotrexate","Maximum Tolerated Dose (MTD) of the direct administration of methotrexate into the fourth ventricle of the brain as determined by NCI's CTCAE","The University of Texas Health Science Center, Houston","All","1 Year to 21 Years   (Child, Adult)","Phase 1","18","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HSC-MS-15-0035","December 2018","June 2019","June 2019","June 1, 2015","null","June 21, 2018","UTHealth & Children's Memorial Hermann Hospital, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT02458339"
28,"NCT02691923","Diagnostic Performance of Fluorescein as an Intraoperative Brain Tumor Biomarker",,"Recruiting","No Results Available","Brain Cancer","Drug: Fluorescein|Drug: Fluorescein + ALA","Fluorescein performance as an intraoperative biomarker for tumor tissue will be reported.|Fluorescein performance as visualized and measured with an intraoperative probe will be reported|Fluorescein versus fluorescein + ALA performance will be reported in patients in patients with 2 different types of tumors","David W. Roberts|National Institute of Neurological Disorders and Stroke (NINDS)|Carl Zeiss Meditec, Inc.|Dartmouth-Hitchcock Medical Center","All","21 Years and older   (Adult, Older Adult)","Phase 2","30","Other|NIH|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","D12090|R01NS052274-01A2","March 2016","June 2018","December 2018","February 25, 2016","null","March 15, 2018","Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, United States","","https://ClinicalTrials.gov/show/NCT02691923"
29,"NCT02307604","SPECTAbrain: Screening Patients With Brain Tumors for Efficient Clinical Trial Access","SPECTAbrain","Recruiting","No Results Available","Brain Neoplasms","Genetic: Tumour markers testing","Number of patients with brain malignancy","European Organisation for Research and Treatment of Cancer - EORTC","All","18 Years and older   (Adult, Older Adult)","","300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","EORTC-1313","May 2016","January 2019","January 2019","December 4, 2014","null","August 8, 2017","CHRU de Lille, Lille, France|Assistance Publique - Hopitaux de Paris - La Pitie Salpetriere, Paris, France","","https://ClinicalTrials.gov/show/NCT02307604"
30,"NCT03033706","Intraoperative Goal Directed Fluid Management in Supratentorial Brain Tumor Craniotomy",,"Recruiting","No Results Available","Brain Tumor|Craniotomy","Procedure: Pulse pressure variation guided fluid therapy|Procedure: Traditional fluid therapy|Procedure: Brain tumor excision","Evaluation of brain relaxation|volume of intraoperative fluid requirements|Urine output|heart rate|number of episodes of hypotension|arterial blood gases|serum lactate|Hemoglobin concentration|prothrombin concentration","Cairo University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MD-4-2016","March 25, 2017","October 1, 2017","December 1, 2017","January 27, 2017","null","April 21, 2017","Cairo University, Cairo, Egypt","","https://ClinicalTrials.gov/show/NCT03033706"
31,"NCT02698254","Pilot Trial of Dose-Volume Constraints for Reirradiation of Recurrent Brain Tumors",,"Recruiting","No Results Available","Brain Cancer","Radiation: Re-Irradiation Therapy (RRT) to Brain|Behavioral: Questionnaires","Highest Grade of Central Nervous System (CNS) Necrosis","M.D. Anderson Cancer Center","All","Child, Adult, Older Adult","Not Applicable","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2015-0586|NCI-2016-00536","July 20, 2016","July 2020","July 2020","March 3, 2016","null","May 7, 2018","University of Texas MD Anderson Cancer Center, Houston, Texas, United States","","https://ClinicalTrials.gov/show/NCT02698254"
32,"NCT03216148","18F-FET PET in Childhood Brain Tumours",,"Recruiting","No Results Available","Brain Neoplasm","Diagnostic Test: FET-PET","Differentiating biologically active Tumor tissue from therapy related changes by using MRI (Magnetic Resonance Imaging) and FET PET|Sensitivity of FET-PET when differentiating biologically active Tumor tissue from therapy-related changes by using MRI (Magnetic Resonance Imaging) and FET PET|Assessment of the predictive value of FET-PET when differentiating biologically active Tumor tissue from therapy-related changes by using MRI (Magnetic Resonance Imaging) and FET PET|Assessment of Tumor grading by FET-PET when differentiating biologically active Tumor tissue from therapy-related changes by using MRI (Magnetic Resonance Imaging) and FET PET|Safety data on FET-PET in children with brain tumors","Charite University, Berlin, Germany","All","1 Year to 17 Years   (Child)","Phase 2","160","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","FET PET 2010|2008-005786-60","July 2015","July 2018","July 2019","July 13, 2017","null","July 21, 2017","Klinikum Augsburg, Onkologie, Augsburg, Germany|Charité Universitätsmedizin Berlin, CVK, Onkologie, Berlin, Germany|Evangelisches Krankenhaus Bielefeld gGmbH, Onkologie, Bielefeld, Germany|Universitätsklinikum Bonn, Onkologie, Bonn, Germany|Klinikum Bremen-Mitte gGmbH, Onkologie, Bremen, Germany|Universitätsklinikum Düsseldorf, Onkologie, Düsseldorf, Germany|Universitätsklinikum Essen, Onkologie, Essen, Germany|Klinik für Nuklearmedizin, Freiburg, Germany|Klinik für Pädiatrische Hämatologie und Onkologie, Freiburg, Germany|Zentrum für Kinder- und Jugendmedizin, Angelika-Lautenschläger-Klinik, Onkologie, Heidelberg, Germany|Institut für Neurowissenschaften und Medizin, Physik der medizinischen Bildgebung, Forschungszentrum Jülich, Nuklearmedizin, Jülich, Germany|Uniklinik Köln, Pädiatrische Onkologie, Köln, Germany|Kliniken der Stadt Köln gGmbH, Köln, Germany|Universitätsklinikum Mainz, Onkologie, Mainz, Germany|Kinderklinik München Schwabing, Onkologie, München, Germany|Nuklearmedizinische Klinik und Poliklinik, München, Germany|Klinik für Kinder- und Jugendmedizin - Pädiatrische Hämatologie und Onkologie, Münster, Germany|Klinik für Nuklearmedizin, Münster, Germany|Klinikum Stuttgart - Olgahospital, Onkologie, Stuttgart, Germany|Klinikum Stuttgart, Nuklearmedizin, Stuttgart, Germany|Universitätsklinikum Tübingen, Onkologie, Tübingen, Germany|Universitäts-Kinderklinik Würzburg, Würzburg, Germany","","https://ClinicalTrials.gov/show/NCT03216148"
33,"NCT03465618","A First in Human Study Using 89Zr-cRGDY Ultrasmall Silica Particle Tracers for Malignant Brain Tumors",,"Recruiting","No Results Available","Brain Cancer","Drug: 89Zr-DFO-cRGDY-PEG-Cy5-C' dots PET Imaging|Other: Blood and Urine samples","distribution within these high-grade gliomas","Memorial Sloan Kettering Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","19","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","17-599","March 7, 2018","March 2020","March 2020","March 14, 2018","null","May 23, 2018","Memorial Sloan Kettering Cancer Center, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT03465618"
34,"NCT00813566","Multi-Tracer PET Assessment of Primary Brain Tumors",,"Recruiting","No Results Available","Brain Tumors|Cancer","Radiation: Multi-tracer PET exams of 18F-FDG, 18F-FLT, 11C-ACE, and 15O-H2O","Rapid, single-scan multi-tracer PET imaging can recover PET imaging biomarker information of each tracer that are not significantly different from those obtained from conventional, single-tracer scans of each tracer.|Multi-tracer PET biomarkers, obtained in conjunction, are better able to predict tumor aggressiveness than individual-tracer biomarkers or conventional radiographic imaging.|Multi-tracer PET biomarkers, obtained in conjunction, are better able to detect functional changes in tumor state that occur in response to therapy than individual-tracer biomarkers or conventional radiographic imaging.|Characterization of multiple aspects of tumor function (glucose metabolism, proliferation, membrane growth, and perfusion) provides new insight into tumor status that can guide selection of the most appropriate therapy.","University of Utah","All","18 Years and older   (Adult, Older Adult)","","20","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","HCI31335","December 2008","July 2018","July 2018","December 23, 2008","null","January 4, 2018","Huntsman Cancer Institute, Salt Lake City, Utah, United States","","https://ClinicalTrials.gov/show/NCT00813566"
